"Date","Price","Open","High","Low","Change %"
"11/09/2023","1.670","1.770","1.770","1.670","0.00%"
"11/08/2023","1.670","1.690","1.810","1.670","0.00%"
"11/07/2023","1.670","1.780","1.800","1.660","0.00%"
"11/06/2023","1.670","1.760","1.800","1.660","-1.76%"
"11/05/2023","1.700","1.670","1.750","1.670","1.80%"
"11/04/2023","1.670","1.670","1.670","1.670","0.00%"
"11/03/2023","1.670","1.750","1.790","1.650","-1.76%"
"11/02/2023","1.700","1.900","1.940","1.620","1.80%"
"11/01/2023","1.670","1.900","1.900","1.640","0.00%"
"10/31/2023","1.670","1.900","1.900","1.640","-1.76%"
"10/30/2023","1.700","1.680","1.900","1.640","-0.58%"
"10/29/2023","1.710","1.750","1.900","1.710","-2.29%"
"10/28/2023","1.750","1.900","1.900","1.750","2.34%"
"10/27/2023","1.710","1.800","1.800","1.690","-6.56%"
"10/26/2023","1.830","1.800","1.830","1.680","0.00%"
"10/25/2023","1.830","1.800","1.840","1.710","-0.54%"
"10/24/2023","1.840","1.800","1.840","1.690","0.55%"
"10/23/2023","1.830","1.850","1.850","1.700","-1.08%"
"10/22/2023","1.850","1.760","1.850","1.760","5.11%"
"10/21/2023","1.760","1.860","1.860","1.760","0.00%"
"10/20/2023","1.760","1.790","1.860","1.720","0.57%"
"10/19/2023","1.750","1.790","1.870","1.710","0.00%"
"10/18/2023","1.750","1.800","1.880","1.710","-0.57%"
"10/17/2023","1.760","1.800","1.880","1.710","0.00%"
"10/16/2023","1.760","1.880","1.880","1.720","-2.76%"
"10/15/2023","1.810","1.780","1.880","1.780","1.69%"
"10/13/2023","1.780","1.900","1.900","1.700","0.00%"
"10/12/2023","1.780","1.900","1.900","1.700","0.00%"
"10/11/2023","1.780","1.890","1.900","1.710","0.00%"
"10/10/2023","1.780","1.900","1.910","1.700","1.71%"
"10/09/2023","1.750","1.900","1.900","1.680","0.57%"
"10/08/2023","1.740","1.820","1.900","1.740","-5.95%"
"10/07/2023","1.850","1.740","1.900","1.740","6.32%"
"10/06/2023","1.740","1.900","1.910","1.690","-2.79%"
"10/05/2023","1.790","1.900","1.920","1.690","-1.10%"
"10/04/2023","1.810","1.900","1.920","1.710","-2.69%"
"10/03/2023","1.860","1.900","1.980","1.680","1.64%"
"10/02/2023","1.830","1.900","1.940","1.770","-0.54%"
"10/01/2023","1.840","1.890","1.920","1.840","-3.16%"
"09/30/2023","1.900","1.900","1.900","1.900","4.40%"
"09/29/2023","1.820","1.850","1.980","1.670","0.55%"
"09/28/2023","1.810","1.860","1.940","1.660","-5.73%"
"09/27/2023","1.920","1.890","1.940","1.660","3.23%"
"09/26/2023","1.860","1.900","1.920","1.660","-4.12%"
"09/25/2023","1.940","1.890","1.940","1.650","2.11%"
"09/24/2023","1.900","1.860","1.930","1.860","2.15%"
"09/23/2023","1.860","1.860","1.860","1.860","0.00%"
"09/22/2023","1.860","1.950","1.950","1.810","-3.12%"
"09/21/2023","1.920","2.020","2.080","1.790","-3.03%"
"09/20/2023","1.980","2.010","2.060","1.940","0.00%"
"09/19/2023","1.980","1.990","2.020","1.940","0.51%"
"09/18/2023","1.970","1.900","2.000","1.610","4.79%"
"09/17/2023","1.880","1.970","1.970","1.880","0.00%"
"09/16/2023","1.880","1.890","1.890","1.880","-1.05%"
"09/15/2023","1.900","1.920","1.990","1.900","-2.06%"
"09/14/2023","1.940","1.880","1.970","1.880","1.04%"
"09/13/2023","1.920","1.900","1.960","1.590","0.00%"
"09/12/2023","1.920","1.900","1.930","1.850","0.00%"
"09/11/2023","1.920","1.940","1.950","1.860","2.13%"
"09/10/2023","1.880","1.860","1.950","1.860","1.08%"
"09/09/2023","1.860","1.860","1.860","1.860","0.00%"
"09/08/2023","1.860","1.900","1.950","1.860","0.00%"
"09/07/2023","1.860","1.900","1.950","1.850","0.00%"
"09/06/2023","1.860","1.890","1.930","1.830","-3.12%"
"09/05/2023","1.920","1.890","1.940","1.830","3.23%"
"09/04/2023","1.860","1.890","1.970","1.830","-2.11%"
"09/03/2023","1.900","1.880","1.920","1.880","2.70%"
"09/01/2023","1.850","1.930","1.960","1.840","-5.13%"
"08/31/2023","1.950","1.900","1.950","1.800","0.52%"
"08/30/2023","1.940","1.900","2.020","1.820","4.30%"
"08/29/2023","1.860","1.900","1.960","1.860","0.00%"
"08/28/2023","1.860","1.940","1.970","1.860","-0.53%"
"08/27/2023","1.870","1.860","1.950","1.860","0.54%"
"08/26/2023","1.860","1.950","1.950","1.860","0.00%"
"08/25/2023","1.860","1.900","1.950","1.830","0.00%"
"08/24/2023","1.860","1.920","1.970","1.840","-1.06%"
"08/23/2023","1.880","1.900","1.970","1.840","-4.57%"
"08/22/2023","1.970","1.900","1.980","1.860","5.35%"
"08/21/2023","1.870","1.940","1.990","1.860","-1.58%"
"08/20/2023","1.900","1.930","1.940","1.900","-2.06%"
"08/19/2023","1.940","1.940","1.940","1.940","0.00%"
"08/18/2023","1.940","1.930","2.010","1.870","0.00%"
"08/17/2023","1.940","1.930","1.970","1.850","2.11%"
"08/16/2023","1.900","1.930","1.990","1.850","0.00%"
"08/15/2023","1.900","1.950","1.980","1.820","-1.04%"
"08/14/2023","1.920","1.950","1.980","1.830","-0.52%"
"08/13/2023","1.930","1.920","1.980","1.920","0.52%"
"08/12/2023","1.920","1.920","1.920","1.920","0.00%"
"08/11/2023","1.920","1.970","1.970","1.840","-1.03%"
"08/10/2023","1.940","1.970","1.990","1.830","0.00%"
"08/09/2023","1.940","1.970","1.970","1.820","0.00%"
"08/08/2023","1.940","1.960","2.000","1.830","-1.02%"
"08/07/2023","1.960","1.940","2.000","1.860","0.00%"
"08/06/2023","1.960","1.940","1.980","1.920","1.03%"
"08/04/2023","1.940","1.890","2.000","1.860","0.00%"
"08/03/2023","1.940","1.980","2.000","1.870","0.00%"
"08/02/2023","1.940","1.960","2.010","1.860","0.00%"
"08/01/2023","1.940","1.980","2.000","1.890","0.00%"
"07/31/2023","1.940","1.990","2.010","1.880","0.00%"
"07/30/2023","1.940","2.020","2.020","1.940","-3.00%"
"07/28/2023","2.000","2.000","2.000","1.890","0.50%"
"07/27/2023","1.990","2.000","2.040","1.950","0.00%"
"07/26/2023","1.990","2.000","2.090","1.930","0.51%"
"07/25/2023","1.980","2.000","2.010","1.930","-1.00%"
"07/24/2023","2.000","1.950","2.020","1.910","3.09%"
"07/23/2023","1.940","2.000","2.000","1.940","-0.51%"
"07/22/2023","1.950","1.950","1.950","1.950","-1.52%"
"07/21/2023","1.980","1.950","2.080","1.920","3.13%"
"07/20/2023","1.920","1.950","2.010","1.890","0.00%"
"07/19/2023","1.920","1.950","2.030","1.900","-1.03%"
"07/18/2023","1.940","1.950","2.100","1.890","-1.02%"
"07/17/2023","1.960","1.950","2.060","1.930","0.00%"
"07/16/2023","1.960","2.000","2.010","1.950","0.51%"
"07/15/2023","1.950","1.970","1.970","1.950","-0.51%"
"07/14/2023","1.960","1.950","2.030","1.920","0.00%"
"07/13/2023","1.960","1.950","2.060","1.950","0.00%"
"07/12/2023","1.960","2.000","2.060","1.950","0.00%"
"07/11/2023","1.960","1.950","2.070","1.950","-1.01%"
"07/10/2023","1.980","2.010","2.080","1.940","-4.35%"
"07/09/2023","2.070","1.950","2.070","1.950","6.15%"
"07/08/2023","1.950","1.980","2.070","1.950","-1.52%"
"07/07/2023","1.980","2.000","2.080","1.950","1.02%"
"07/06/2023","1.960","2.000","2.140","1.960","0.00%"
"07/05/2023","1.960","2.000","2.100","1.960","0.00%"
"07/04/2023","1.960","2.000","2.060","1.960","0.00%"
